commande_id,client_id,produit_id,quantite,date_commande,montant_total
69,187,36,84,2025-07-05,751542.0
70,139,29,90,2025-08-03,945911.21
71,5,50,24,2025-06-26,403723.15
72,196,21,86,2025-05-31,518911.07
73,148,29,33,2025-06-14,397739.95
74,172,19,27,2025-12-16,624256.12
75,195,16,61,2025-09-28,396549.0
76,71,30,11,2025-06-03,395973.81
77,186,12,99,2025-08-18,330184.22
78,44,13,56,2025-04-30,4562.59
79,63,50,99,2026-02-04,3406.79
80,145,20,61,2025-10-05,3036.6
81,163,36,70,2026-01-05,793516.5
82,139,44,57,2025-04-26,613626.84
83,99,39,25,2025-04-17,941641.93
84,104,34,56,2025-06-06,845429.27
85,12,13,60,2026-03-30,433727.49
86,122,36,38,2026-01-02,664587.22
87,189,5,32,2026-03-27,868238.73
88,133,6,43,2025-07-17,622772.48
89,18,19,98,2025-09-21,989192.67
90,188,38,71,2025-10-21,286894.53
91,16,47,89,2025-10-23,657349.22
92,142,2,11,2025-04-10,8016.72
93,149,44,41,2025-06-25,-590.87
94,99,5,71,2025-09-26,339253.13
95,54,28,78,2025-06-20,752491.59
96,146,39,52,2026-01-12,560447.86
97,151,36,96,2025-08-19,864504.15
98,181,6,22,2025-05-13,3500.01
99,41,25,50,2026-03-22,890079.31
100,133,21,41,2025-06-02,975049.01
101,166,45,27,2026-03-13,195151.93
102,142,11,85,2025-12-12,544356.59
103,96,49,59,2025-09-16,400053.92
104,24,30,20,2025-05-23,324523.19
105,13,15,77,2025-04-09,938039.0
106,21,32,16,2025-07-13,595139.08
107,45,38,76,2026-03-09,644542.49
108,8,25,89,2025-04-24,199935.77
109,8,39,99,2025-07-11,587788.95
110,79,38,26,2025-11-14,848479.2
111,131,9,19,2025-05-04,44927.21
112,135,9,59,2025-11-12,818062.96
113,156,24,36,2025-06-07,338416.78
114,185,11,37,2026-02-02,802087.36
115,32,31,50,2025-06-08,374565.61
116,119,25,26,2025-07-28,512892.34
117,30,29,92,2026-01-30,421981.51
118,126,17,76,2026-01-25,766712.04
119,61,18,59,2026-03-30,187773.97
120,80,46,80,2025-09-22,627836.74
121,176,10,40,2025-08-29,123659.73
122,93,4,25,2025-08-01,345430.47
123,24,38,68,2026-03-28,724335.47
124,143,46,29,2025-07-31,723936.01
125,170,24,96,2025-04-17,644139.36
126,49,42,62,2025-08-20,130892.35
127,41,18,91,2025-10-02,515486.42
128,55,29,42,2025-10-11,983569.88
129,188,49,95,2026-03-27,487413.55
130,37,9,79,2025-11-23,970646.02
131,157,42,24,2026-03-29,438577.44
132,153,29,16,2026-02-27,392841.8
133,95,45,50,2026-03-31,332216.0
134,124,28,59,2025-11-16,438763.13
135,2,42,24,2025-10-02,767612.34
136,7,2,95,2026-03-14,607586.77
137,132,13,29,2025-08-01,197116.28
138,168,40,36,2025-08-10,2288.92
139,188,26,99,2026-02-12,3418.07
140,136,13,89,2025-05-18,3957.66
141,61,22,65,2025-12-08,669802.35
142,184,20,32,2025-08-09,937103.74
143,111,8,41,2025-08-14,723073.86
144,116,32,94,2025-08-08,459926.77
145,165,21,11,2026-03-30,920927.48
146,163,33,84,2025-07-17,127324.4
147,104,11,95,2025-11-13,249154.1
148,81,26,59,2025-06-28,648432.16
149,68,16,21,2025-12-17,487986.32
150,111,7,37,2025-08-27,812581.35
151,27,37,13,2025-05-25,162261.25
152,181,16,17,2026-03-29,576410.44
153,148,32,60,2026-01-06,544973.9
154,102,1,17,2026-03-30,261845.67
155,90,25,13,2025-09-09,473169.27
156,172,2,99,2025-09-14,197031.61
157,170,13,59,2025-11-23,963165.17
158,189,26,52,2025-04-12,458176.94
159,154,49,97,2026-01-01,56506.11
160,70,25,95,2026-02-26,350107.67
161,19,9,48,2025-06-29,834740.11
162,164,49,75,2026-01-17,620449.0
163,18,50,42,2025-10-31,727854.9
164,171,1,36,2025-10-23,361093.66
165,133,41,18,2026-01-10,916624.17
166,187,47,89,2025-06-19,591273.97
167,6,31,52,2025-11-27,417392.5
168,97,14,52,2025-09-08,442991.11
169,56,3,18,2025-11-28,965464.38
170,144,26,78,2025-12-27,590263.12
171,11,14,82,2026-03-15,3270.09
172,9,12,87,2025-07-02,981007.73
173,22,29,91,2025-11-20,308308.0
174,65,33,52,2026-01-09,465374.76
175,85,27,90,2026-02-28,204308.89
176,41,25,14,2025-05-23,924046.25
177,2,50,73,2025-10-21,603809.12
178,154,25,96,2026-01-24,2790.77
179,125,6,56,2026-01-15,266357.6
180,79,49,50,2026-01-05,4856.88
181,82,39,65,2025-11-15,261598.31
182,15,18,41,2025-04-08,758104.08
183,72,17,73,2025-10-17,150500.05
184,54,14,63,2026-02-02,4183.64
185,24,47,53,2025-04-14,538747.43
186,148,31,94,2026-03-06,563119.04
187,127,9,95,2025-05-02,870999.99
188,66,21,20,2025-10-29,414199.61
189,96,17,83,2025-04-09,84744.18
190,51,31,88,2026-01-08,768992.81
191,134,38,13,2026-03-01,629654.56
192,50,40,34,2026-01-08,847981.28
193,137,45,20,2026-02-20,367929.41
194,105,21,17,2025-10-06,584688.3
195,110,9,61,2025-10-10,166777.51
196,25,48,39,2026-03-07,649637.67
197,198,26,85,2025-08-05,327544.87
198,125,38,10,2025-10-15,746311.04
199,134,45,10,2025-04-30,612534.52
200,52,24,70,2026-01-31,98109.1
201,94,18,19,2025-07-31,976373.21
202,164,46,71,2026-01-13,686086.12
203,95,13,42,2025-05-12,104218.01
204,158,22,39,2025-05-18,138399.06
205,135,46,75,2025-09-10,55999.99
206,117,41,15,2025-05-04,680572.6
207,30,15,73,2025-05-23,947415.55
208,187,11,94,2025-10-04,902100.22
209,167,14,14,2025-11-12,557780.52
210,200,1,54,2025-07-28,708357.16
211,144,43,92,2025-11-07,419558.67
212,190,34,13,2025-08-21,688707.88
213,173,17,71,2025-04-18,997056.45
214,112,41,63,2025-10-24,389488.51
215,160,36,81,2026-01-29,75538.55
216,10,19,37,2025-04-18,54658.18
217,127,47,85,2026-03-19,903904.0
218,99,27,39,2025-07-17,990435.52
219,130,3,56,2025-08-25,782329.14
220,53,31,64,2025-10-01,339191.69
221,196,48,69,2025-11-26,557263.56
222,169,20,58,2026-03-19,968123.15
223,60,17,26,2025-08-21,388899.62
224,132,7,40,2025-12-25,587141.16
225,31,46,77,2025-07-11,292832.11
226,82,18,100,2026-03-24,812736.21
227,6,15,38,2025-05-18,2284.81
228,85,7,89,2025-07-28,377992.94
229,134,20,20,2025-07-22,874295.55
230,56,14,60,2025-08-13,63473.47
231,128,47,71,2025-06-11,547562.83
232,180,14,27,2025-11-22,97787.25
233,197,20,23,2025-05-19,881348.05
234,19,37,26,2025-11-17,37646.11
235,191,21,92,2025-09-19,502432.79
236,198,31,20,2025-08-15,378799.33
237,77,43,82,2025-11-27,580729.86
238,88,49,20,2026-03-06,884295.77
239,62,1,25,2025-05-22,204355.43
240,89,26,17,2025-04-18,432471.16
241,172,41,50,2025-08-12,248649.9
242,160,2,94,2025-05-07,760905.15
243,64,20,69,2025-09-29,3610.49
244,175,38,89,2025-11-25,991313.78
245,27,44,63,2025-12-23,147434.03
246,84,6,51,2025-11-16,964349.48
247,4,14,17,2025-11-21,839622.66
248,109,47,26,2026-03-29,408191.48
249,159,3,27,2025-09-17,22253.69
250,158,25,46,2025-11-16,725175.29
251,135,43,22,2025-10-28,869399.47
252,15,8,66,2025-08-06,695151.95
253,162,30,73,2025-09-04,338609.32
254,22,50,78,2025-05-21,769608.27
255,94,21,19,2026-01-17,723408.24
256,15,49,63,2025-11-18,516560.11
257,163,5,84,2026-01-02,412685.52
258,175,47,50,2026-02-24,123440.96
259,110,9,64,2025-10-01,212777.45
260,78,1,23,2025-05-05,878518.85
261,165,1,17,2025-05-07,948897.11
262,174,46,21,2025-05-06,760709.28
263,2,35,38,2025-12-04,274557.6
264,38,17,55,2025-11-10,148178.35
265,135,41,10,2025-05-13,703441.15
266,151,7,66,2025-07-17,264786.27
267,75,42,17,2025-12-29,3412.3
268,173,7,71,2025-09-13,614491.42
269,1,15,86,2025-10-23,133395.13
270,182,41,80,2025-05-24,84807.82
271,128,44,68,2025-12-14,544498.49
272,109,21,65,2025-11-19,333296.02
273,166,5,14,2025-07-10,16360.03
274,66,44,65,2026-03-09,363660.33
275,162,6,14,2026-02-08,612787.53
276,115,10,69,2026-02-19,911332.59
277,121,17,10,2025-08-06,264237.39
278,85,4,33,2026-02-24,838653.92
279,110,31,24,2025-10-08,109085.13
280,157,14,91,2026-01-25,677345.62
281,113,19,85,2025-05-19,40689.85
282,95,6,65,2026-03-16,428300.16
283,108,48,70,2025-08-10,214593.78
284,107,1,82,2025-07-08,793580.11
285,150,50,56,2026-03-21,603796.72
286,67,45,78,2025-11-10,751567.8
287,56,30,51,2026-01-17,998744.51
288,176,7,13,2026-03-20,600592.28
289,164,46,80,2025-06-01,808648.13
290,1,39,39,2025-09-18,621551.1
291,122,15,44,2026-01-07,741119.0
292,135,42,88,2025-07-05,182127.17
293,22,7,36,2025-11-19,971076.09
294,46,10,36,2025-11-16,106890.33
295,144,13,45,2025-12-06,810240.94
296,66,37,86,2025-09-11,585413.16
297,189,4,74,2025-10-22,392877.55
298,66,11,99,2026-02-07,759586.06
299,24,46,59,2025-04-06,956446.39
300,51,9,82,2025-07-01,1194.42
301,123,14,88,2025-08-12,24502.38
302,197,8,96,2025-09-24,126177.06
303,194,16,92,2025-10-25,667503.33
304,59,11,14,2025-09-12,605472.3
305,20,48,48,2025-08-30,840909.5
306,98,2,17,2025-10-10,297595.05
307,199,15,73,2025-12-10,750705.58
308,95,28,83,2026-03-08,834404.76
309,169,15,25,2025-10-01,437701.6
310,20,33,22,2025-09-05,528741.2
311,85,12,73,2025-07-03,735274.89
312,112,12,33,2025-04-19,691402.35
313,58,14,50,2025-06-10,774126.71
314,6,19,70,2025-07-20,918478.89
315,13,38,95,2025-08-30,44749.45
316,60,11,33,2025-09-20,571561.92
317,102,44,98,2025-05-23,56400.52
318,161,40,80,2025-12-11,972156.85
319,168,37,82,2025-12-19,739101.48
320,22,16,99,2025-11-09,932707.02
321,110,28,86,2026-02-10,856388.96
322,90,22,52,2025-08-06,428582.56
323,148,30,37,2025-04-18,142244.21
324,37,48,66,2025-05-07,819151.89
325,198,36,62,2026-02-16,697305.14
326,193,39,99,2025-06-12,25776.18
327,2,9,59,2025-04-11,868059.56
328,48,40,43,2025-05-01,339056.34
329,146,24,46,2025-06-18,262202.09
330,166,31,24,2026-03-19,572661.16
331,41,31,77,2025-06-01,976723.16
332,51,14,25,2025-07-02,194935.47
333,63,16,49,2025-08-29,980524.87
334,84,33,68,2025-07-20,607572.66
335,19,45,23,2025-10-19,342582.23
336,36,46,88,2025-07-27,356852.26
337,43,37,78,2026-01-29,456254.66
338,97,28,31,2026-02-03,231808.15
339,185,33,50,2026-03-30,2711.96
340,113,34,97,2026-01-13,127950.33
341,65,7,47,2026-02-24,256814.44
342,190,34,45,2025-08-30,943183.3
343,91,2,13,2025-08-15,496102.3
344,185,45,36,2025-11-01,571457.82
345,185,47,18,2026-03-14,376804.17
346,60,35,18,2025-12-01,11956.31
347,115,18,87,2025-09-13,821607.42
348,130,46,96,2025-07-26,711760.77
349,149,8,68,2026-03-02,67686.24
350,84,50,97,2025-05-14,601148.25
351,183,44,76,2026-01-30,7022.97
352,46,50,30,2025-06-10,407966.04
353,4,23,82,2025-08-19,996047.2
354,142,45,93,2026-02-02,236453.29
355,169,31,66,2026-02-05,804518.16
356,137,26,98,2025-10-16,941437.72
357,76,35,71,2025-04-21,29543.4
358,31,6,49,2026-02-18,35756.71
359,96,1,76,2025-11-13,632006.57
360,78,50,50,2025-06-21,719710.85
361,124,5,35,2025-09-24,576373.51
362,169,34,68,2025-05-28,618.47
363,176,7,88,2025-11-03,100905.46
364,193,29,19,2025-10-13,485384.92
365,69,14,69,2025-05-30,372441.07
366,153,17,89,2025-10-30,24799.05
367,54,35,56,2025-09-03,825946.8
368,65,27,63,2025-06-30,729778.04
369,115,35,44,2025-07-05,28181.69
370,169,46,78,2026-03-13,556160.73
371,177,24,39,2025-06-10,27180.6
372,126,22,32,2025-09-06,-863.02
373,126,20,14,2026-02-12,578796.01
374,155,26,34,2025-10-18,384188.72
375,11,16,95,2025-06-10,362707.1
376,183,24,12,2026-03-20,637627.16
377,37,5,59,2025-06-03,449574.77
378,10,10,96,2025-06-19,936509.76
379,139,38,48,2025-11-10,252423.47
380,169,35,58,2025-04-13,920945.31
381,76,22,41,2025-08-24,732381.65
382,131,20,63,2025-12-30,276635.21
383,89,14,92,2026-01-18,719072.42
384,62,11,22,2025-04-17,36415.5
385,107,44,18,2025-07-14,582807.95
386,174,32,40,2025-09-25,778231.46
387,140,41,93,2025-09-11,156240.61
388,60,39,49,2025-09-01,810368.24
389,64,31,10,2025-08-30,631168.78
390,153,41,81,2025-12-01,46304.36
391,32,50,95,2026-02-13,846868.79
392,158,42,27,2025-04-20,113644.95
393,28,26,97,2026-03-16,232487.38
394,115,16,68,2025-07-09,192900.51
395,185,29,59,2026-01-02,276400.68
396,139,3,100,2025-08-03,761649.73
397,172,26,11,2025-06-01,820862.87
398,118,40,33,2025-10-26,450393.26
399,25,17,81,2025-04-17,52921.45
400,153,33,82,2025-11-15,395016.33
401,12,48,47,2025-12-24,701246.55
402,80,27,92,2025-06-21,601965.52
403,190,25,77,2025-06-10,737734.55
404,48,25,17,2025-05-23,272864.33
405,184,48,99,2025-12-28,567314.17
406,193,11,33,2025-09-02,781341.77
407,33,19,88,2025-05-21,483740.04
408,103,11,95,2025-11-09,30485.35
409,38,20,11,2025-10-12,540765.59
410,102,18,53,2025-07-07,613192.5
411,130,43,33,2025-08-13,450811.96
412,108,10,100,2025-06-18,151933.38
413,117,37,44,2025-08-26,138980.55
414,18,23,37,2026-03-18,644517.81
415,90,38,91,2025-11-30,254574.23
416,198,50,61,2026-01-10,409911.56
417,41,34,10,2025-12-03,58510.22
418,96,45,56,2025-04-21,804590.11
419,65,38,64,2025-08-05,825244.9
420,64,22,18,2025-08-20,971115.54
421,28,41,19,2025-04-23,576570.03
422,88,27,92,2025-07-07,492734.19
423,161,16,70,2026-02-01,898264.78
424,124,43,73,2026-02-06,157100.78
425,148,37,84,2025-07-17,390696.5
426,98,12,45,2025-08-31,32481.91
427,104,16,96,2026-03-04,761767.1
428,171,30,96,2025-11-27,135222.77
429,31,43,70,2025-04-17,746451.38
430,135,2,86,2025-08-04,805534.52
431,88,18,63,2025-08-15,704775.59
432,15,19,22,2025-06-03,728166.33
433,76,9,71,2026-02-28,190758.73
434,168,14,72,2025-08-01,819388.33
435,119,36,35,2025-11-03,75042.39
436,7,16,76,2025-10-20,295147.89
437,196,21,76,2026-02-07,46352.35
438,124,43,46,2026-03-26,902225.43
439,88,29,28,2026-03-20,872172.96
440,198,45,17,2025-08-05,360954.7
441,186,25,62,2026-03-12,555338.19
442,168,6,12,2026-01-07,641490.28
443,16,5,97,2026-03-19,444043.45
444,123,46,72,2025-12-20,991992.36
445,141,40,19,2026-02-23,791475.57
446,167,17,46,2025-11-28,530894.69
447,46,33,96,2026-02-21,871887.74
448,190,37,75,2025-10-13,804898.97
449,93,34,94,2026-01-13,467829.42
450,197,21,80,2025-09-14,341378.58
451,154,20,41,2025-07-14,5285.3
452,162,31,71,2025-09-23,775865.21
453,183,34,32,2025-11-15,900895.61
454,61,1,88,2026-03-09,399651.4
455,95,50,18,2025-09-10,663886.95
456,184,10,19,2025-06-12,170996.22
457,142,25,51,2025-04-26,445459.81
458,198,45,49,2025-12-18,853026.45
459,69,24,39,2025-07-24,861521.13
460,74,30,87,2026-02-01,93295.78
461,56,29,56,2026-01-30,245112.12
462,131,16,92,2026-03-13,202539.68
463,58,32,88,2026-03-27,626752.06
464,101,3,79,2025-05-08,4392.32
465,133,2,62,2025-09-18,282451.75
466,126,29,88,2025-05-01,760321.36
467,181,43,54,2025-07-19,338153.96
468,97,1,90,2025-10-25,292225.59
469,72,43,22,2025-09-12,665193.09
470,11,39,17,2025-12-02,457197.68
471,179,13,16,2025-11-27,338989.26
472,27,28,85,2025-07-11,39806.74
473,98,41,57,2025-04-18,784174.3
474,123,42,98,2025-09-20,351670.04
475,146,13,39,2026-03-21,838915.97
476,124,38,17,2025-05-27,786238.37
477,140,50,76,2026-01-24,971192.36
478,188,29,13,2025-05-01,160177.78
479,108,9,54,2025-12-23,66904.93
480,29,22,38,2025-07-13,42198.14
481,122,27,23,2025-07-06,647460.17
482,101,5,93,2025-09-30,509279.65
483,102,27,21,2025-09-25,3185.65
484,7,42,50,2026-02-17,63806.26
485,23,4,24,2025-05-31,434936.06
486,146,22,92,2025-08-12,642198.93
487,161,44,63,2026-03-10,4985.61
488,102,17,66,2025-09-23,685594.14
489,183,25,24,2026-02-25,2414.77
490,169,6,59,2025-10-12,707385.9
491,62,43,29,2025-11-29,144453.47
492,138,50,49,2026-01-16,762422.26
493,20,17,65,2025-04-07,646019.29
494,46,3,78,2026-01-03,427793.58
495,99,49,25,2025-10-02,629721.1
496,21,1,55,2025-05-14,554436.18
497,30,39,98,2026-03-24,664540.06
498,113,27,15,2025-11-09,872602.62
499,156,5,61,2025-07-19,4380.07
500,46,39,78,2025-08-13,326786.33
501,3,48,22,2026-01-07,186465.22
502,77,49,53,2025-04-15,698588.24
503,200,14,41,2025-07-01,677560.09
504,172,29,19,2025-10-05,45187.04
505,110,16,50,2025-05-09,649467.43
506,117,32,63,2025-06-07,104460.02
507,148,19,82,2025-06-14,868518.63
508,29,32,36,2026-02-20,548699.47
509,84,16,57,2025-04-09,998588.99
510,49,39,95,2025-08-29,207519.84
511,185,36,54,2025-07-21,585958.3
512,123,23,44,2026-01-02,449659.91
513,131,27,90,2026-03-22,880982.41
514,158,4,49,2025-06-05,297645.64
515,94,8,64,2025-11-30,315548.16
516,17,36,13,2026-01-17,941888.58
517,43,42,39,2025-08-02,3498.95
518,148,43,52,2025-06-06,933873.19
519,30,7,99,2025-04-06,989250.75
520,72,2,18,2025-04-27,317544.89
521,63,50,70,2026-01-10,802734.0
522,95,31,78,2025-12-22,82681.13
523,172,43,20,2025-06-29,166520.84
524,153,44,37,2025-11-18,86914.62
525,89,36,51,2026-02-16,432769.34
526,9,20,48,2026-02-21,901775.64
527,199,46,96,2025-09-08,770831.28
528,148,22,63,2025-09-28,566246.7
529,112,49,66,2026-03-26,169760.9
530,6,9,83,2025-12-26,699031.22
531,15,20,32,2025-11-24,832816.3
532,72,49,45,2026-01-21,652801.26
533,59,15,45,2025-11-18,248966.29
534,59,50,23,2025-11-08,236557.24
535,134,9,77,2025-05-20,445714.81
536,10,2,48,2025-12-02,60987.09
537,28,8,26,2026-01-10,825609.97
538,28,42,40,2025-06-08,426736.06
539,96,36,67,2025-08-23,484763.83
540,23,11,75,2025-04-18,965570.21
541,122,27,27,2025-06-12,693525.12
542,50,17,83,2025-08-30,222756.13
543,180,13,20,2025-12-14,966123.61
544,127,46,57,2026-01-14,449324.52
545,125,50,29,2026-03-23,717972.99
546,53,5,92,2025-12-07,935679.24
547,189,7,65,2026-03-03,380859.24
548,85,47,56,2025-07-10,645106.29
549,76,49,21,2025-07-26,994947.59
550,173,11,40,2025-04-27,766550.61
551,65,35,30,2026-03-30,380159.64
552,29,39,13,2025-12-31,131017.96
553,88,27,67,2025-04-18,689885.68
554,115,49,77,2025-09-22,301846.42
555,103,47,10,2025-05-12,249219.09
556,23,32,20,2026-02-05,519919.64
557,157,44,76,2026-02-11,575978.79
558,51,47,99,2025-07-30,748134.49
559,11,12,85,2026-01-06,601673.01
560,32,46,21,2025-09-23,477827.24
561,161,2,71,2025-09-21,807085.96
562,181,27,86,2025-05-17,2924.3
563,179,33,87,2026-03-22,348904.15
564,132,46,95,2025-08-13,845819.65
565,14,46,67,2026-02-19,345259.45
566,56,48,48,2025-09-11,461543.08
567,145,8,10,2025-06-16,160036.3
568,136,7,25,2026-03-14,556812.9
569,166,14,79,2026-01-04,214996.78
570,153,4,63,2025-11-30,578546.27
571,191,38,18,2025-05-05,954476.64
572,92,5,91,2026-01-11,877488.22
573,128,11,89,2025-11-02,150945.63
574,182,3,50,2025-05-17,437862.57
575,87,17,96,2025-12-13,144567.47
576,27,4,51,2025-09-25,428674.44
577,131,35,57,2026-04-01,233417.55
578,160,10,19,2025-11-06,518515.03
579,120,11,18,2025-05-16,899212.2
580,85,10,97,2025-04-17,694951.3
581,160,21,97,2026-01-26,853047.55
582,131,26,98,2025-05-14,-65.93
583,89,28,38,2025-06-27,917738.75
584,61,46,37,2025-10-12,193210.6
585,172,22,21,2025-08-03,665571.65
586,32,18,73,2025-04-06,151676.37
587,40,41,60,2025-07-03,711425.83
588,107,48,47,2025-11-01,351948.94
589,35,17,65,2025-08-15,855506.17
590,22,49,86,2025-12-20,2285.39
591,157,42,34,2025-12-26,910783.9
592,106,24,53,2025-05-19,552767.26
593,171,25,37,2025-06-13,728177.24
594,10,41,99,2026-01-08,825308.71
595,199,20,52,2025-06-19,73364.48
596,52,26,53,2025-11-15,374308.43
597,32,27,54,2025-07-03,114715.88
598,194,12,81,2026-01-06,132618.24
599,138,48,30,2025-08-25,242526.48
600,12,9,77,2025-07-09,650393.45
601,143,7,49,2025-10-03,2363.94
602,106,49,91,2025-12-05,743290.82
603,16,12,70,2025-07-03,378711.46
604,170,48,82,2025-04-06,4806.41
605,81,21,50,2026-01-31,889018.87
606,43,49,76,2025-11-08,672419.04
607,145,31,99,2025-11-05,526637.74
608,126,13,80,2026-03-09,750149.95
609,182,20,30,2026-03-20,694448.53
610,91,4,51,2026-03-16,969586.1
611,125,32,78,2026-01-29,472546.98
612,58,27,49,2025-10-29,772949.66
613,42,2,98,2026-01-06,948286.05
614,99,1,26,2025-12-31,189287.53
615,104,47,100,2025-09-06,307006.31
616,88,47,27,2025-05-22,298662.69
617,13,27,74,2026-03-22,3481.1
618,170,40,31,2026-02-06,9434.48
619,11,29,52,2025-11-01,52414.67
620,16,35,77,2025-05-31,831027.25
621,167,50,63,2025-08-20,253262.25
622,126,46,76,2025-07-16,964072.33
623,113,27,52,2026-01-23,900908.01
624,162,34,22,2025-10-20,204748.25
625,183,47,57,2026-02-22,4003.14
626,9,20,12,2025-06-29,544308.62
627,53,2,95,2025-05-05,4595.48
628,57,44,13,2025-10-08,48371.42
629,186,40,40,2025-07-01,751977.89
630,3,9,93,2025-06-15,22760.25
631,39,29,60,2025-08-15,511367.92
632,94,15,36,2026-02-01,4396.43
633,182,6,80,2025-10-07,353518.89
634,18,2,45,2025-09-25,350856.68
635,66,49,26,2025-05-18,270488.37
636,136,8,88,2025-09-05,819725.72
637,27,23,37,2026-01-02,4469.44
638,97,49,62,2025-07-02,654971.17
639,19,2,40,2025-11-06,4805.02
640,30,42,99,2025-06-06,925751.24
641,125,32,93,2026-03-28,289448.04
642,183,15,40,2025-08-15,768853.35
643,120,42,16,2025-07-04,2903.52
644,127,17,86,2025-04-03,390781.87
645,154,42,63,2025-04-27,756136.49
646,87,30,48,2025-12-15,625678.11
647,165,21,78,2026-02-14,370759.08
648,57,34,86,2026-02-07,33422.99
649,62,4,10,2026-03-19,279144.83
650,142,6,59,2026-01-19,507212.28
651,158,11,32,2025-11-07,722336.29
652,70,11,30,2025-08-22,853564.11
653,108,50,75,2025-07-16,449186.92
654,186,47,24,2025-09-01,173754.54
655,175,31,91,2025-10-05,215802.01
656,177,29,43,2025-10-21,545155.55
657,197,7,68,2026-04-01,887221.5
658,103,2,21,2025-08-07,95673.69
659,131,47,81,2025-10-25,433894.93
660,93,18,57,2026-03-07,950850.03
661,183,15,61,2026-03-24,177978.84
662,186,34,74,2025-07-14,444089.96
663,158,17,30,2025-12-14,715414.54
664,105,3,39,2026-03-23,671747.9
665,97,32,27,2026-01-24,21715.01
666,136,48,11,2025-10-05,778552.69
667,166,22,99,2025-06-25,473254.34
668,51,26,16,2025-07-26,399237.19
669,193,31,88,2025-06-04,572187.68
670,93,32,80,2025-12-07,327877.49
671,17,45,67,2025-09-11,269217.96
672,3,5,56,2026-01-21,662103.47
673,36,32,29,2026-04-02,382532.26
674,151,49,60,2026-03-22,83801.86
675,41,19,60,2026-02-21,599674.52
676,98,20,41,2025-11-28,710144.2
677,33,16,99,2025-05-14,178370.02
678,132,21,31,2025-12-26,198461.15
679,75,50,93,2025-11-13,662884.64
680,159,31,47,2025-11-20,298726.1
681,180,41,80,2025-08-11,728774.4
682,76,19,88,2025-07-13,4781.37
683,89,50,30,2025-04-05,3467.4
684,106,44,58,2026-03-08,44989.41
685,196,24,85,2026-03-07,869149.48
686,23,35,71,2025-12-11,814910.3
687,102,6,32,2025-12-07,930829.93
688,139,35,48,2025-12-10,493419.74
689,15,41,40,2025-05-25,781138.47
690,69,41,56,2026-03-23,490862.66
691,71,34,26,2025-09-23,528336.93
692,16,15,20,2026-03-11,581161.12
693,102,21,89,2026-02-14,945726.68
694,44,18,29,2026-02-01,870505.74
695,65,39,52,2026-01-16,457799.51
696,10,19,95,2025-09-25,518789.98
697,63,18,42,2025-10-25,390738.45
